Time (s),Ch1 (V),Ch2 (V)
0.0837500,0.1705171,0.1753527
0.0838750,0.1705171,0.1777705
0.0840000,0.1680992,0.1753527
0.0841250,0.1705171,0.1801883
0.0842500,0.1729349,0.1729349
0.0843750,0.1801883,0.1729349
0.0845000,0.1656814,0.1753527
0.0846250,0.1680992,0.1753527
0.0847500,0.1680992,0.1753527
0.0848750,0.1680992,0.1753527
0.0850000,0.1656814,0.1729349
0.0851250,0.1705171,0.1777705
0.0852500,0.1705171,0.1753527
0.0853750,0.1680992,0.1705171
0.0855000,0.1753527,0.1777705
0.0856250,0.1656814,0.1777705
0.0857500,0.1729349,0.1777705
0.0858750,0.1705171,0.1753527
0.0860000,0.1705171,0.1753527
0.0861250,0.1656814,0.1729349
0.0862500,0.1729349,0.1705171
0.0863750,0.1705171,0.1753527
0.0865000,0.1632636,0.1850240
0.0866250,0.1680992,0.1729349
0.0867500,0.1680992,0.1705171
0.0868750,0.1680992,0.1729349
0.0870000,0.1656814,0.1971131
0.0871250,0.1656814,0.1753527
0.0872500,0.1632636,0.1777705
0.0873750,0.1656814,0.1753527
0.0875000,0.1656814,0.1777705
0.0876250,0.1680992,0.1390853
0.0877500,0.1680992,0.1753527
0.0878750,0.1656814,0.1753527
0.0880000,0.1656814,0.1729349
0.0881250,0.1342497,0.1801883
0.0882500,0.1729349,0.1753527
0.0883750,0.1656814,0.1729349
0.0885000,0.1463388,0.1777705
0.0886250,0.1680992,0.1753527
0.0887500,0.1705171,0.1753527
0.0888750,0.1729349,0.1729349
0.0890000,0.1705171,0.1729349
0.0891250,0.1705171,0.1777705
0.0892500,0.1729349,0.1753527
0.0893750,0.1777705,0.1753527
0.0895000,0.2092022,0.1801883
0.0896250,0.1680992,0.1753527
0.0897500,0.1705171,0.1705171
0.0898750,0.1656814,0.1753527
0.0900000,0.1729349,0.1753527
0.0901250,0.1656814,0.1898596
0.0902500,0.1705171,0.1753527
0.0903750,0.1680992,0.1705171
0.0905000,0.1680992,0.1753527
0.0906250,0.1632636,0.1729349
0.0907500,0.1729349,0.1777705
0.0908750,0.1680992,0.1705171
0.0910000,0.1729349,0.1753527
0.0911250,0.1656814,0.1777705
0.0912500,0.1705171,0.1753527
0.0913750,0.1680992,0.1777705
0.0915000,0.1656814,0.1898596
0.0916250,0.1753527,0.1705171
0.0917500,0.1680992,0.1705171
0.0918750,0.1656814,0.1777705
0.0920000,0.1705171,0.1753527
0.0921250,0.1632636,0.1753527
0.0922500,0.1753527,0.1729349
0.0923750,0.1656814,0.1729349
0.0925000,0.1511745,0.1680992
0.0926250,0.1705171,0.1753527
0.0927500,0.1680992,0.1729349
0.0928750,0.1729349,0.1753527
0.0930000,0.1995309,0.1729349
0.0931250,0.1632636,0.1705171
0.0932500,0.1753527,0.1753527
0.0933750,0.1680992,0.1898596
0.0935000,0.1608458,0.1729349
0.0936250,0.1705171,0.1366675
0.0937500,0.1705171,0.1753527
0.0938750,0.1656814,0.1753527
0.0940000,0.1656814,0.1729349
0.0941250,0.1705171,0.1801883
0.0942500,0.1705171,0.1753527
0.0943750,0.1729349,0.1777705
0.0945000,0.1729349,0.1753527
0.0946250,0.1632636,0.1680992
0.0947500,0.1680992,0.1777705
0.0948750,0.1680992,0.1705171
0.0950000,0.1705171,0.1753527
0.0951250,0.1656814,0.1777705
0.0952500,0.1463388,0.1777705
0.0953750,0.1680992,0.1729349
0.0955000,0.1656814,0.1705171
0.0956250,0.1656814,0.1801883
0.0957500,0.1753527,0.1826062
0.0958750,0.1680992,0.1801883
0.0960000,0.2019488,0.1753527
0.0961250,0.1705171,0.1753527
